,이름,년도,팀,war,경기수,완봉,완투,선발,승,패,세이브,홀드,inning,실점,ERA,FIP,WHIP,ERA_plus,FIP_plus,자책,볼넷,홈런,삼진,연봉
100,옥스프링,13,롯,4.58,30.0,1.0,1.0,30.0,13.0,7.0,0.0,0.0,183.1,79.0,3.29,3.8,1.27,132.9,115.1,67.0,69.0,10.0,144.0,0.0
101,캘러웨이,6,현,4.56,27.0,0.0,0.0,27.0,14.0,7.0,0.0,0.0,166.1,61.0,2.87,2.65,1.24,126.0,136.4,53.0,35.0,4.0,95.0,0.0
102,손민한,7,롯,4.53,30.0,0.0,0.0,30.0,13.0,10.0,0.0,0.0,194.0,74.0,3.34,3.7,1.23,114.5,103.3,72.0,48.0,17.0,95.0,40000.0
103,해커,17,N,4.52,26.0,1.0,0.0,26.0,12.0,7.0,0.0,0.0,160.1,64.0,3.42,4.45,1.17,145.0,112.4,61.0,29.0,14.0,97.0,60000.0
104,채드벨,19,한,4.5,29.0,0.0,0.0,29.0,11.0,10.0,0.0,0.0,177.1,73.0,3.5,4.15,1.31,118.3,100.2,69.0,63.0,14.0,134.0,0.0
105,오승환,11,삼,4.47,54.0,0.0,0.0,0.0,1.0,0.0,47.0,0.0,57.0,4.0,0.63,1.56,0.67,660.4,267.4,4.0,11.0,2.0,76.0,24000.0
106,이재학,13,N,4.44,27.0,2.0,1.0,24.0,10.0,5.0,1.0,0.0,156.0,53.0,2.88,3.91,1.17,148.9,110.0,50.0,59.0,12.0,144.0,5000.0
107,글로버,9,S,4.44,20.0,0.0,0.0,16.0,9.0,3.0,1.0,0.0,105.2,32.0,1.96,2.99,1.07,241.5,158.3,23.0,26.0,6.0,90.0,0.0
108,장원삼,10,삼,4.4,29.0,0.0,0.0,28.0,13.0,5.0,0.0,0.0,151.0,62.0,3.46,3.84,1.21,133.4,120.2,58.0,44.0,13.0,115.0,17000.0
109,켈리,15,S,4.4,30.0,1.0,0.0,29.0,11.0,10.0,0.0,0.0,181.0,87.0,4.13,4.19,1.34,117.0,115.8,83.0,54.0,16.0,139.0,75000.0
110,유희관,15,두,4.4,30.0,1.0,1.0,30.0,18.0,5.0,0.0,0.0,189.2,84.0,3.94,4.62,1.25,119.0,100.2,83.0,44.0,23.0,126.0,40000.0
